product_id,product_name,category,objective,current_price,optimal_price,price_change_pct,current_demand,optimal_demand,current_margin,optimal_margin,margin_uplift_pct,current_revenue,optimal_revenue,revenue_uplift_pct,avg_competitor_price,action
1001,Electronics Item 01,Electronics,margin,235.48,302.64,28.5,7.0,6.6,511.04,921.33,80.3,1638.4,1983.01,21.0,226.1,RAISE
1002,Electronics Item 02,Electronics,margin,125.52,192.81,53.6,44.6,31.1,1791.85,3344.42,86.6,5601.82,6001.84,7.1,143.85,RAISE
1003,Electronics Item 03,Electronics,margin,313.46,423.37,35.1,8.8,7.7,874.41,1601.63,83.2,2761.36,3241.77,17.4,287.63,RAISE
1004,Electronics Item 04,Electronics,margin,163.37,207.0,26.7,20.9,19.4,1397.36,2141.16,53.2,3419.52,4015.04,17.4,141.22,RAISE
1005,Electronics Item 05,Electronics,margin,259.93,330.61,27.2,11.7,11.1,1216.69,1933.01,58.9,3050.87,3665.67,20.2,239.24,RAISE
1006,Electronics Item 06,Electronics,margin,225.16,301.77,34.0,32.9,27.7,2627.62,4336.87,65.0,7407.48,8363.61,12.9,218.93,RAISE
1007,Electronics Item 07,Electronics,margin,138.01,215.43,56.1,33.1,20.0,1094.49,2211.6,102.1,4567.59,4312.12,-5.6,148.91,RAISE
1008,Electronics Item 08,Electronics,margin,157.19,200.33,27.4,34.8,33.5,2377.7,3736.93,57.2,5468.18,6714.67,22.8,138.35,RAISE
1009,Electronics Item 09,Electronics,margin,442.87,612.19,38.2,27.4,21.9,3482.31,6495.06,86.5,12126.19,13410.5,10.6,434.87,RAISE
1010,Electronics Item 10,Electronics,margin,250.37,340.0,35.8,20.6,17.4,2013.83,3262.16,62.0,5160.18,5920.43,14.7,248.31,RAISE
1011,Apparel Item 01,Apparel,margin,22.3,32.82,47.2,16.2,12.3,175.88,263.18,49.6,360.17,403.43,12.0,22.4,RAISE
1012,Apparel Item 02,Apparel,margin,79.13,100.81,27.4,8.1,8.3,376.12,562.0,49.4,641.15,831.94,29.8,67.66,RAISE
1013,Apparel Item 03,Apparel,margin,110.94,119.43,7.7,6.1,5.5,337.41,354.56,5.1,675.54,662.69,-1.9,115.58,RAISE
1014,Apparel Item 04,Apparel,margin,40.8,38.93,-4.6,14.7,16.4,361.71,372.11,2.9,599.91,637.32,6.2,41.21,LOWER
1015,Apparel Item 05,Apparel,margin,67.32,82.42,22.4,10.9,11.0,459.48,625.99,36.2,735.78,902.94,22.7,55.16,RAISE
1016,Apparel Item 06,Apparel,margin,75.58,103.98,37.6,38.7,31.8,1723.68,2322.61,34.7,2923.61,3310.11,13.2,78.66,RAISE
1017,Apparel Item 07,Apparel,margin,26.79,27.25,1.7,3.2,3.5,42.73,47.36,10.8,86.53,94.28,9.0,27.45,HOLD
1018,Apparel Item 08,Apparel,margin,93.84,142.17,51.5,40.0,27.5,1849.08,2602.77,40.8,3751.73,3912.42,4.3,102.63,RAISE
1019,Apparel Item 09,Apparel,margin,86.97,135.98,56.4,50.7,33.2,2383.1,3182.67,33.6,4410.7,4508.12,2.2,90.13,RAISE
1020,Apparel Item 10,Apparel,margin,82.36,79.65,-3.3,5.1,5.6,238.02,247.24,3.9,421.03,449.1,6.7,83.05,LOWER
1021,Home & Garden Item 01,Home & Garden,margin,73.88,101.54,37.4,41.3,33.0,1462.09,2081.56,42.4,3053.12,3352.81,9.8,72.7,RAISE
1022,Home & Garden Item 02,Home & Garden,margin,98.45,143.3,45.6,34.2,26.0,1589.07,2369.59,49.1,3368.73,3719.6,10.4,103.04,RAISE
1023,Home & Garden Item 03,Home & Garden,margin,139.16,218.05,56.7,29.3,19.2,1537.63,2518.0,63.8,4079.64,4180.37,2.5,156.88,RAISE
1024,Home & Garden Item 04,Home & Garden,margin,105.36,130.7,24.1,5.5,5.3,323.51,444.44,37.4,582.45,692.68,18.9,93.3,RAISE
1025,Home & Garden Item 05,Home & Garden,margin,20.15,29.03,44.1,42.6,33.7,357.57,581.94,62.7,858.77,978.22,13.9,19.59,RAISE
